amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Ring Foundation,"Los Angeles, CA United States","National Public Radio, Inc.","Washington, DC United States",Public services,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Researchers; Activists,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Robert R Mccormick Foundation,"Chicago, IL United States",REPORTERS COMMITTEE FOR FREEDOM OF THE PRESS,"Washington, DC United States",For general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Pivotal Place: Western Balkans Program,GRANT DURATION: 2 years,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Rockefeller Brothers Fund, Inc.","New York City, NY United States",Balkan Civil Society Development Network,"Sarajevo, Bosnia and Herzegovina",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Pivotal Place: Latin America,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Low-income people,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,"Rockefeller Brothers Fund, Inc.","New York City, NY United States",Seattle International Foundation,"Seattle, WA United States",For its Independent Journalism Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Singer Family Foundation,"Denver, CO United States",Colorado Public Radio,"Centennial, CO United States",General,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Constituency journalism",POPULATION SERVED: Adolescents; Young adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Skyline Foundation,"San Francisco, CA United States",Student Press Law Center,"Washington, DC United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Citizen journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Smith Richardson Foundation,"Greensboro, NC United States",Small Wars Foundation,"Mc Lean, VA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Solidarity Giving,"Palo Alto, CA United States",The Center for Investigative Reporting,"Emeryville, CA United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Education and Youth Development,GRANT DURATION: 2 years and 3 months,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Annenberg Foundation,"Conshohocken, PA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States","For the Center on Communication Leadership & Policy at the Annenberg School for Communication & Journalism at the University of Southern California to provide hands-on learning opportunities for students and professionals, building the next generation of communication leaders",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Chicago Community Trust,"Chicago, IL United States",National Press Club Journalism Institute,"Washington, DC United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Journalism; Media/communications; Web-based media; Public policy,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Online media; Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,The Fund for New Jersey,"Princeton, NJ United States",NJ Spotlight,"Montclair, NJ United States","A grant to to support high-quality public affairs coverage and analysis of current issues in New Jersey in partnership with NJTV News under the auspices of WNET: $100,000 to NJSpotlight (Newark, NJ)",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: ARTS / Film and Media,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,The George Gund Foundation,"Cleveland, OH United States","National Public Radio, Inc.","Washington, DC United States",Midwest news coverage.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Awards, prizes and competitions",TRANSACTION TYPE: Cash grants,The Heising-Simons Foundation,"Los Altos, CA United States",Rachel Kaadzi Ghansah,"Brooklyn, NY United States",For the 2019 american mosaic journalism prize,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Awards, prizes and competitions",TRANSACTION TYPE: Cash grants,The Heising-Simons Foundation,"Los Altos, CA United States",Abraham Streep,"SANTA FE, NM United States",For the 2019 american mosaic journalism prize,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Heising-Simons Foundation,"Los Altos, CA United States",The Center for Investigative Reporting,"Emeryville, CA United States",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Ethnic and racial groups,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Joyce Foundation,"Chicago, IL United States",CITY BUREAU NFP,"Chicago, IL United States",For the purpose of continuing to expand City Bureau's innovative community journalism model (1 yr),http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Presentations and productions; Program support,TRANSACTION TYPE: Cash grants,The Joyce Foundation,"Chicago, IL United States",Teachers College Columbia University,"New York City, NY United States","To fund the Hechinger Report for in depth news coverage of higher education issues in Indiana, Illinois, Minnesota and Ohio (2 yrs)",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Leadership and professional development; Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,The Joyce Foundation,"Chicago, IL United States",COMMUNITY RENEWAL SOCIETY,"Chicago, IL United States",For the Chicago Reporter to create a bilingual news bureau in partnership with Univision (1 yr),http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Students; Teachers; Researchers; Parents,SUPPORT STRATEGY: Presentations and productions; Outreach; Program support,TRANSACTION TYPE: Cash grants,The Joyce Foundation,"Chicago, IL United States",EDITORIAL PROJECTS IN EDUCATION INC,"Bethesda, MD United States","To support coverage of school leadership in Education Week, the nation's premiere K-12 news source (1 yr)",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Poverty; Democracy,GRANT DURATION: 1 year,GRANT TITLE: American Issues Initiative's Voting Rights Short Form Videos,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education; Online media,TRANSACTION TYPE: Cash grants,The Jpb Foundation,"New York City, NY United States",Metropole Film Board Inc Co Oren Jacoby,"New York City, NY United States","To use short-form videos (4-7 mins.) And real time story-telling combined with extensive use of social media to educate and motivate our target audiences on the need to preserve, protect and extend voting rights to all Americans.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,The Kendeda Fund,"Wilmington, DE United States",INTERNEWS NETWORK,"Washington, DC United States",Earth journalism network,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",Whereby.Us Enterprises,"Miami, FL United States",News sustainability: facebook funded local news accelerator grant to support and accelerate membership efforts,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",MinnPost,"Minneapolis, MN United States",News sustainability: facebook funded local news accelerator grant to support and accelerate membership efforts,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
